//EnglishVowels
AA	ɑ
AE	æ
AH	ʌ
AH2	ə
AO	ɒ
OU	ɔ
AW	aʊ
AY	aɪ
EH	ɛ
EY	eɪ
IH	ɪ
IY	i
OW	oʊ
OY	ɔɪ
UH	ʊ
UW	u
ER	ɝ
EL  əl
EM	əm
EN	ən
OR  oɹ

//EnglishConsonants
B	b
CH	ʧ
D	d
DH	ð
F	f
G	g
HH	h
JH	ʤ
K	k
L	l
M	m
N	n
NG	ŋ
NGG	ŋg
NY	ɲ
P	p
R	ɹ
S	s
SH	ʃ
T	t
TH	θ
V	v
W	w
WH	ʍ
Y	j
Z	z
ZH	ʒ

//EnglishExtra
&   æ
EA	eə
UY  aɪ
X	x

//French
O	o
A~  ɑ̃
O~  ɔ̃
E~	ɛ̃
WY	ɥ
ë	œ
ü   y
ö	ø
ë~	œ̃
RH	ʁ

GH	ɣ
HHH	χ
FH	ɸ
BB	ʙ
RR	r
TS  ts
DZ  dz
H+	ç
SH+	ɬ
R'	ɾ
D'	ɾ
:	ː
-	ʔ
