//EnglishVowels
AA	𐑭
AE	𐑨
AH	𐑳
AH2	𐑩
AO	𐑷
OU	𐑷
AW	𐑬
AY	𐑲
EH	𐑧
EY	𐑱
IH	𐑦
IY	𐑰
OW	𐑴
OY	𐑶
UH	𐑫
UW	𐑵
ER	𐑩𐑮
EL  𐑩𐑤
EM  𐑩𐑥
EN	𐑩𐑯
OR  𐑴𐑮

//EnglishConsonants
B	𐑚
CH	𐑗
D	𐑛
DH	𐑞
F	𐑓
G	𐑜
HH	𐑣
JH	𐑡
K	𐑒
L	𐑤
M	𐑥
N	𐑯
NG	𐑙
NGG	𐑙𐑜
NY	𐑯𐑘
P	𐑐
R	𐑮
S	𐑕
SH	𐑖
T	𐑑
TH	𐑔
V	𐑝
W	𐑢
WH	𐑣𐑢
Y	𐑘
Z	𐑟
ZH	𐑠

//EnglishExtra
&   𐑨
EA	𐑨
UY  𐑲
X	?

//French
O	𐑴
A~  ?
O~  ?
E~	?
WY	?
ë	?
ü   ?
ö	?
ë~	?
RH	?

GH	?
HHH	?
FH	?
BB	?
RR	?
TS  𐑑𐑕
DZ  𐑛𐑟
H+	?
SH+	?
R'	𐑮
D'	𐑛
:	?
-	?
