//EnglishVowels
AA	a
AE	ȧ
AH	u̇
AH2	e
AO	au̇
OU	ou̇
AW	ȧu
EH	ė
IH	ı
IY	i
IY2 i
OW	ȯ
AY	ai
EY	ėi
OY	oi
UY  u̇i
UH	ʊ
UW	u
UW2	u
ER	er
EL  el
EM	em
EN	en
OR  or
&   á
EA	á

//EnglishConsonants
B	b
CH	c
D	d
DH	đ
F	f
G	g
HH	h
JH	j
K	k
L	l
M	m
N	n
NG	ŋ
NGG ŋ
NY	ny
P	p
R	r
S	s
SH	ṡ
T	t
TH	ŧ
V	v
W	w
WH	hw
Y	y
Z	z
ZH	ż
X	k̇

//French
O	o
A~  à
O~  ò
E~	è
WY	wy
ë	ë
ü   ü
ö	ö
ë~	ê
RH	ṛ

GH	gh
HHH	hh
FH	fh
BB	bb
RR	rr
TS  ts
DZ  dz
H+	h=
SH+	s=
R'	ṙ
D'	ḋ
:	:
-	-
//ψ π ж ю
